srm,hz,pd,id,isEncode,hz:1,rc,prithis,jm,gbk,big5,hk,unicode,gb20902,xh,hz123,new20161021,gbgeneral
0,的,1,1,1,,0,0,1,0,1,0,30340,1,1,的,0,1
0,我,22,2,1,,0,1,1,0,1,0,25105,1,2,我,0,1
0,你,284,3,1,,0,2,1,0,1,0,20320,1,3,你,0,1
0,他,29,4,1,,0,3,1,0,1,0,20182,1,4,他,0,1
0,得,74,5,1,,0,4,1,0,1,0,24471,1,5,得,0,1
0,很,149,6,1,,0,5,1,0,1,0,24456,1,6,很,0,1
0,和,17,7,1,,0,6,1,0,1,0,21644,1,7,和,0,1
0,○,10303,8,1,,0,7,0,0,1,0,9675,0,8,○,0,1
0,零,1095,9,1,零,1,8,0,0,1,0,38646,1,9,零,0,1
0,便,593,10,1,,0,9,1,0,1,0,20415,1,10,便,0,1
0,丿,29695,11,1,,0,10,0,0,0,1,20031,1,11,,0,0
00,像,522,12,1,,0,0,1,0,1,0,20687,1,12,像,0,1
00,種,7122,13,1,,0,1,1,0,1,0,31278,1,13,種,0,1
00,爭,8833,14,1,,0,2,0,0,1,0,29229,1,14,爭,0,1
00,手,140,15,1,,0,3,0,0,1,0,25163,1,15,手,0,1
00,乎,834,16,1,,0,4,0,0,1,0,20046,1,16,乎,0,1
00,季,453,17,1,,0,5,0,0,1,0,23395,1,17,季,0,1
00,孚,3091,18,1,,0,6,0,0,1,0,23386,1,18,孚,0,1
00,夕,2017,19,1,,0,7,0,0,1,0,22805,1,19,夕,0,1
00,仔,1578,20,1,,0,8,1,0,1,0,20180,1,20,仔,0,1
00,任,223,21,1,,0,9,1,0,1,0,20219,1,21,任,0,1
00,危,631,22,1,,0,10,1,0,1,0,21361,1,22,危,0,1
00,低,433,23,1,,0,11,1,0,1,0,20302,1,23,低,0,1
00,免,771,24,1,,0,12,1,0,1,0,20813,1,24,免,0,1
00,角,685,25,1,,0,13,1,0,1,0,35282,1,25,角,0,1
00,係,5708,26,1,,0,14,1,0,1,0,20418,1,26,係,0,1
00,急,816,27,1,,0,15,1,0,1,0,24613,1,27,急,0,1
00,彩,694,28,1,,0,16,1,0,1,0,24425,1,28,彩,0,1
00,您,1049,29,1,,0,17,1,0,1,0,24744,1,29,您,0,1
00,移,842,30,1,,0,18,1,0,1,0,31227,1,30,移,0,1
00,魚,7258,31,1,,0,19,1,0,1,0,39770,1,31,魚,0,1
00,象,545,32,1,,0,20,1,0,1,0,35937,1,32,象,0,1
00,稱,8298,33,1,,0,21,1,0,1,0,31281,1,33,稱,0,1
00,,41693,34,1,,0,22,0,0,0,1,63464,0,34,,0,0
00,爳,34296,35,1,,0,23,0,1,0,0,29235,1,35,,0,0
00,彡,29694,36,1,,0,24,0,0,0,1,24417,1,36,,0,0
000,為,5803,37,1,,0,0,0,0,1,0,28858,1,37,為,0,1
000,多,41,38,1,,0,1,0,0,1,0,22810,1,38,多,0,1
000,秀,874,39,1,,0,2,0,0,1,0,31168,1,39,秀,0,1
000,掱,9923,40,1,,0,3,0,0,1,0,25521,1,40,掱,0,0
000,牖,6491,41,1,,0,4,0,0,1,0,29270,1,41,牖,0,0
000,亇,33120,42,1,,0,5,0,0,0,1,20103,1,42,,0,0
000,豸,5796,43,1,,0,6,0,0,1,0,35960,1,43,豸,0,1
000,争,33109,44,1,,0,7,0,0,0,1,20105,1,44,,0,0
000,厃,34296,45,1,,0,8,0,1,0,0,21379,1,45,,0,0
000,,41689,46,1,,0,9,0,0,0,1,58317,0,46,,0,0
000,爲,7259,47,1,,0,10,0,1,0,0,29234,1,47,,0,1
000,,33123,48,1,,1,11,0,0,0,1,60348,0,48,,0,0
000,牑,34296,49,1,牑,1,12,0,1,0,0,29265,1,49,,0,0
0000,角,685,50,1,,0,0,0,0,1,0,35282,1,50,角,0,1
0000,掰,3675,51,1,,0,1,0,0,1,0,25520,1,51,掰,0,1
0000,搿,9389,52,1,,0,2,0,0,1,0,25663,1,52,搿,0,0
0000,,41686,53,1,,0,3,0,0,0,1,62814,0,53,,0,0
0003,象,545,54,1,,0,0,0,0,1,0,35937,1,54,象,0,1
0003,觚,6210,55,1,,0,1,0,0,1,0,35290,1,55,觚,0,1
0004,觼,10348,56,1,,0,0,0,0,1,0,35324,1,56,觼,0,0
0004,躷,34296,57,1,,0,1,0,1,0,0,36535,1,57,,0,0
0006,詹,1888,58,1,,0,0,0,0,1,0,35449,1,58,詹,0,1
