id,SRM,HZ,pd,isencode,xh,typeID
591,473330,九龍酒店,0,1,0,4
592,473483,九龍華美達軒酒店,0,1,0,4
593,484330,大華酒店,0,1,0,4
594,57330,中興酒店,0,1,0,4
595,386330,六國酒店,0,1,0,4
596,401330,太子酒店,0,1,0,4
597,442033,世紀香港酒店,0,1,0,4
598,442363,世紀海景酒店,0,1,0,4
599,442330,世紀酒店,0,1,0,4
600,469363,加怡海景酒店,0,1,0,4
601,026330,利景酒店,0,1,0,4
602,421433,希爾斯酒店,0,1,0,4
603,935330,怡東酒店,0,1,0,4
604,671363,明珠海景酒店,0,1,0,4
605,433463,城市花園酒店,0,1,0,4
606,326330,帝國酒店,0,1,0,4
607,324330,帝都酒店,0,1,0,4
608,613330,星港酒店,0,1,0,4
609,463330,柏寧酒店,0,1,0,4
610,327330,洲際酒店,0,1,0,4
611,063330,皇室酒店,0,1,0,4
612,069330,皇悅酒店,0,1,0,4
613,063413,香港太子酒店,0,1,0,4
614,063953,香港怡東酒店,0,1,0,4
615,063483,香港華美酒店,0,1,0,4
616,063433,香港萬豪酒店,0,1,0,4
617,386433,海景嘉福酒店,0,1,0,4
618,321330,高雅酒店,0,1,0,4
619,65330,國泰酒店,0,1,0,4
620,63433,國賓大酒店,0,1,0,4
621,304330,康蘭酒店,0,1,0,4
622,363703,富豪啟德酒店,0,1,0,4
623,363443,富豪機場酒店,0,1,0,4
624,361433,富麗華酒店,0,1,0,4
625,341330,港麗酒店,0,1,0,4
626,458333,華美達酒店,0,1,0,4
627,134330,雅蘭酒店,0,1,0,4
628,071033,奧麗香港酒店,0,1,0,4
629,304636,新世界海景酒店,0,1,0,4
630,306533,新國泰酒店,0,1,0,4
631,301633,新雅圖酒店,0,1,0,4
632,360330,溫泉酒店,0,1,0,4
633,364330,溫莎酒店,0,1,0,4
634,423330,萬豪酒店,0,1,0,4
635,421330,萬麗酒店,0,1,0,4
636,063330,粵海酒店,0,1,0,4
637,064330,粵華酒店,0,1,0,4
638,315330,龍蟠酒店,0,1,0,4
639,113330,彌敦酒店,0,1,0,4
640,736330,駿景酒店,0,1,0,4
641,116330,麗晶酒店,0,1,0,4
642,113330,麗豪酒店,0,1,0,4
643,912330,恒豐酒店,0,1,0,4
2513,087773,徐匯區監察委員會,0,1,0,9
2514,087787,徐匯區人民代表大會常務委員會,0,1,0,9
2515,087787,徐匯區人民政府,0,1,0,9
2516,173313,司法部司法鑒定中心,0,1,0,9
2517,213037,上海航道局,0,1,0,9
2518,213077,上海科學院,0,1,0,9
2519,213128,上海水上公安局,0,1,0,9
2520,213300,上海市物價局,0,1,0,9
2521,213300,上海市衛生局,0,1,0,9
2522,213301,上海市稅務局,0,1,0,9
2523,213301,上海市郵政局,0,1,0,9
2524,213301,上海市特殊奧林匹克運動委員會,0,1,0,9
2525,213307,上海市住房制度改革領導小組辦公室,0,1,0,9
2526,213303,上海市解決居住特困戶聯席會議辦公室,0,1,0,9
2527,213307,上海市住房制度改革辦公室,0,1,0,9
2528,213303,上海市住宅發展局,0,1,0,9
2529,213304,上海市重大工程建設辦公室,0,1,0,9
2530,213304,上海市仲裁委員會,0,1,0,9
2531,213305,上海市科技進步獎評審辦公室,0,1,0,9
2532,213305,上海市科技信息辦公室,0,1,0,9
2533,213306,上海市重點工程實事立功競賽辦公室,0,1,0,9
2534,213306,上海市外國投資工作委員會,0,1,0,9
2535,213306,上海市愛國衛生運動委員會,0,1,0,9
2536,213307,上海市科學技術委員會,0,1,0,9
2537,213310,上海市工程建設標準化辦公室,0,1,0,9
2538,213310,上海市水利局,0,1,0,9
2539,213311,上海市水務局,0,1,0,9
2540,213313,上海市職業技術教育課程改革與教材建設委員會辦公室,0,1,0,9
2541,213313,上海市工業產品生產許可證辦公室,0,1,0,9
2542,213313,上海市水資源辦公室,0,1,0,9
2543,213313,上海市水產辦公室,0,1,0,9
2544,213313,上海市引進國外智力領導小組辦公室,0,1,0,9
2545,213313,上海市工商行政管理局,0,1,0,9
2546,213313,上海市司法局,0,1,0,9
2547,213314,上海市建材業管理辦公室,0,1,0,9
2548,213314,上海市環境衛生管理局,0,1,0,9
2549,213314,上海市環境保護局,0,1,0,9
2550,213315,上海市孫中山宋慶齡文物管理委員會,0,1,0,9
2551,213317,上海市發展新型牆體材料辦公室,0,1,0,9
2552,213317,上海港務局,0,1,0,9
2553,213317,上海市發展計劃委員會,0,1,0,9
2554,213320,上海市綠化管理局,0,1,0,9
2555,213320,上海市綠化委員會,0,1,0,9
2556,213323,上海市經濟體制改革辦公室,0,1,0,9
2557,213323,上海市統計局,0,1,0,9
2558,213323,上海市經濟委員會,0,1,0,9
2559,213328,上海市出入境檢驗檢疫局,0,1,0,9
2560,213330,上海市畜牧辦公室,0,1,0,9
2561,213330,上海市文化廣播影視管理局,0,1,0,9
2562,213330,上海市通信管理局,0,1,0,9
2563,213330,上海市文化局,0,1,0,9
2564,213330,上海市對外經濟貿易委員會,0,1,0,9
2565,213330,上海市文物管理委員會,0,1,0,9
2566,213331,上海市市政管理委員會辦公室,0,1,0,9
2567,213331,上海市市政工程管理局,0,1,0,9
2568,213332,上海市測繪管理辦公室,0,1,0,9
2569,213332,上海市高級人民法院,0,1,0,9
2570,213332,上海市市級機關汽車服務中心,0,1,0,9
2571,213333,上海市商業網點管理辦公室,0,1,0,9
2572,213333,上海市清產核資辦公室,0,1,0,9
2573,213333,上海市空港管理委員會辦公室,0,1,0,9
2574,213333,上海市市容環境衛生管理局,0,1,0,9
2575,213333,上海市審計局,0,1,0,9
2576,213333,上海市旅遊事業管理委員會,0,1,0,9
2577,213333,上海市商業委員會,0,1,0,9
2578,213333,上海市疾病預防控制中心,0,1,0,9
2579,213333,上海旅遊宣傳中心,0,1,0,9
2580,213334,上海市產權交易管理辦公室,0,1,0,9
2581,213334,上海市宗教事務局,0,1,0,9
2582,213335,上海市計劃用水辦公室,0,1,0,9
2583,213335,上海市廣播電影電視局,0,1,0,9
2584,213335,上海市計劃委員會,0,1,0,9
2585,213335,上海市計劃生育委員會,0,1,0,9
2586,213377,上海市房屋土地資源管理局,0,1,0,9
2587,213377,上海市房屋土地管理局,0,1,0,9
2588,213337,上海市新聞出版局,0,1,0,9
2589,213337,上海市消防總隊,0,1,0,9
2590,213338,上海市計算機應用與產業發展領導小組辦公室,0,1,0,9
2591,213338,上海市社會團體管理局,0,1,0,9
2592,213338,上海市社會福利有獎募捐委員會,0,1,0,9
2593,213338,上海市社會體育管理中心,0,1,0,9
2594,213339,上海市證券期貨監督管理辦公室,0,1,0,9
2595,213340,上海市地名管理辦公室,0,1,0,9
2596,213341,上海市核電辦公室,0,1,0,9
2597,213341,上海市機電產品出口辦公室,0,1,0,9
2598,213341,上海市地震局,0,1,0,9
2599,213342,上海市散裝水泥辦公室,0,1,0,9
2600,213342,上海市老齡工作委員會,0,1,0,9
2601,213343,上海市地方志辦公室,0,1,0,9
2602,213343,上海市勘察設計市場管理辦公室,0,1,0,9
2603,213343,上海市蘇州河環境綜合整治領導小組辦公室,0,1,0,9
2604,213343,上海市城市規劃管理局,0,1,0,9
2605,213343,上海市城市交通管理局,0,1,0,9
2606,213343,上海市檔案局,0,1,0,9
2607,213343,上海市地方稅務局,0,1,0,9
2608,213343,上海市地方稅務局稽查局,0,1,0,9
2609,213343,上海市教育委員會,0,1,0,9
2610,213344,上海市機構編製委員會辦公室,0,1,0,9
2611,213344,上海市蔬菜工作領導小組辦公室,0,1,0,9
2612,213347,上海市機關事業單位福利事業中心,0,1,0,9
2613,213349,上海市奶類發展項目辦公室,0,1,0,9
2614,213349,上海市犬類管理領導小組辦公室,0,1,0,9
2615,213350,上海市技術市場管理辦公室,0,1,0,9
2616,213350,上海市專利管理局,0,1,0,9
2617,213350,上海市技術監督局,0,1,0,9
2618,213350,上海市技術監督中心,0,1,0,9
2619,213351,上海市抗震辦公室,0,1,0,9
2620,213352,上海市抗災救災辦公室,0,1,0,9
2621,213352,上海市拖幼工作辦公室,0,1,0,9
2622,213353,上海市農業機械化管理辦公室,0,1,0,9
2623,213353,上海市擁軍優屬擁政愛民工作領導小組辦公室,0,1,0,9
2624,213353,上海市農業委員會,0,1,0,9
2625,213353,上海市農業保險風險基金管理委員會,0,1,0,9
2626,213354,上海市農村金融體制改革領導小組辦公室,0,1,0,9
2627,213354,上海市農場管理局,0,1,0,9
2628,213354,上海市農林局,0,1,0,9
2629,213357,上海海事局,0,1,0,9
2630,213359,上海市中小學生嬰幼兒住院醫療互助基金管理辦公室,0,1,0,9
2631,213359,上海市青少年保護委員會,0,1,0,9
2632,213359,上海市中小學課程教材改革委員會,0,1,0,9
2633,213361,上海市財政局,0,1,0,9
2634,213363,上海市國家安全局,0,1,0,9
2635,213363,上海市國家保密局,0,1,0,9
2636,213363,上海市國家稅務局,0,1,0,9
2637,213363,上海市國家稅務局稽查局,0,1,0,9
2638,213364,上海市國有資產管理辦公室,0,1,0,9
2639,213364,上海市園林管理局,0,1,0,9
2640,213367,上海市國民經濟和社會信息化領導小組辦公室,0,1,0,9
2641,213367,上海市國際航運中心上海地區領導小組辦公室,0,1,0,9
2642,213371,上海市民政局,0,1,0,9
2643,213377,上海市區縣工業管理局,0,1,0,9
2644,213373,上海市監察委員會,0,1,0,9
2645,213373,上海市防汛指揮部辦公室,0,1,0,9
2646,213373,上海市醫療機構監督管理辦公室,0,1,0,9
2647,213373,上海市體育局,0,1,0,9
2648,213373,上海市醫療保險局,0,1,0,9
2649,213373,上海市體育運動委員會,0,1,0,9
2650,213373,上海市民族和宗教事務委員會,0,1,0,9
2651,213373,上海市民族事務委員會,0,1,0,9
2652,213373,上海市防汛指揮部,0,1,0,9
2653,213374,上海市監獄管理局,0,1,0,9
2654,213374,上海市醫藥管理局,0,1,0,9
2655,213376,上海市質量技術監督局,0,1,0,9
2656,213377,上海市民防辦公室,0,1,0,9
2657,213377,上海消防局,0,1,0,9
2658,213380,上海市氣象局,0,1,0,9
2659,213380,上海市公積金管理中心,0,1,0,9
2660,213381,上海市第一中級人民法院,0,1,0,9
2661,213381,上海市第二中級人民法院,0,1,0,9
2662,213382,上海市節能監察中心,0,1,0,9
2663,213383,上海市公安局,0,1,0,9
2664,213383,上海市公安局社會治安防範局,0,1,0,9
2665,213383,上海市知識產權局,0,1,0,9
2666,213383,上海市公證處,0,1,0,9
2667,213383,上海市公安局治安總隊,0,1,0,9
2668,213385,上海市公費醫療管理辦公室,0,1,0,9
2669,213385,上海市人事局,0,1,0,9
2670,213386,上海市人口普查辦公室,0,1,0,9
2671,213386,上海市人口和計劃生育委員會,0,1,0,9
2672,213387,上海市人民代表大會常務委員會,0,1,0,9
2673,213387,上海市人民政府,0,1,0,9
2674,213387,上海市人民政府辦公廳,0,1,0,9
2675,213387,上海市人民政府第九辦公室,0,1,0,9
2676,213387,上海市人民政府外事辦公室,0,1,0,9
2677,213387,上海市人民政府僑務辦公室,0,1,0,9
2678,213387,上海市人民政府台灣事務辦公室,0,1,0,9
2679,213387,上海市人民政府協作辦公室,0,1,0,9
2680,213387,上海市人民政府交通辦公室,0,1,0,9
2681,213387,上海市人民政府徵兵辦公室,0,1,0,9
2682,213387,上海市人民政府國防科技工業辦公室,0,1,0,9
2683,213387,上海市人民政府法制辦公室,0,1,0,9
2684,213387,上海市人民政府退伍軍人和離休退休幹部安置領導小組辦公室,0,1,0,9
2685,213387,上海市人民政府落實私房政策領導小組辦公室,0,1,0,9
2686,213387,上海市人民政府新聞辦公室,0,1,0,9
2687,213387,上海市人民政府參事室,0,1,0,9
2688,213387,上海市人民政府研究室,0,1,0,9
2689,213387,上海市人民防空基建辦公室,0,1,0,9
2690,213387,上海市人民政府機關事務管理局,0,1,0,9
2691,213387,上海市公用事業管理局,0,1,0,9
2692,213387,上海市人民檢察院反貪污賄賂局,0,1,0,9
2693,213387,上海市人民政府建設委員會,0,1,0,9
2694,213387,上海市人民檢察院,0,1,0,9
2695,213389,上海市飼料工業辦公室,0,1,0,9
2696,213390,上海市勞動模範評選委員會辦公室,0,1,0,9
2697,213390,上海市勞動教養工作管理局,0,1,0,9
2698,213390,上海市勞動和社會保障局,0,1,0,9
2699,213393,上海市精神病防治管理領導小組辦公室,0,1,0,9
2700,213394,上海市煙草專賣局,0,1,0,9
2701,213398,上海市糧食局,0,1,0,9
2702,213399,上海市粉煤灰綜合利用辦公室,0,1,0,9
2703,213677,上海國際醫學交流中心,0,1,0,9
2704,213773,盧灣區監察委員會,0,1,0,9
2705,213787,盧灣區人民代表大會常務委員會,0,1,0,9
2706,213787,盧灣區人民政府,0,1,0,9
2707,213863,上海鐵路運輸法院,0,1,0,9
2708,213867,上海鐵路局,0,1,0,9
2709,213868,上海鐵路分局,0,1,0,9
2710,226773,崇明縣監察委員會,0,1,0,9
2711,226787,崇明縣人民代表大會常務委員會,0,1,0,9
2712,226787,崇明縣人民政府,0,1,0,9
2713,335377,浦東新區監察局,0,1,0,9
2714,335378,浦東新區人大工作聯絡處,0,1,0,9
2715,335378,浦東新區管理委員會,0,1,0,9
2716,382773,寶山區監察委員會,0,1,0,9
2717,382787,寶山區人民代表大會常務委員會,0,1,0,9
2718,382787,寶山區人民政府,0,1,0,9
2719,427773,南匯區監察委員會,0,1,0,9
2720,427787,南匯區人民代表大會常務委員會,0,1,0,9
2721,427787,南匯區人民政府,0,1,0,9
2722,443773,黃浦區監察委員會,0,1,0,9
2723,443773,嘉定區監察委員會,0,1,0,9
2724,443787,黃浦區人民代表大會常務委員會,0,1,0,9
2725,443787,嘉定區人民代表大會常務委員會,0,1,0,9
2726,443787,黃浦區人民政府,0,1,0,9
2727,443787,嘉定區人民政府,0,1,0,9
2728,463773,楊浦區監察委員會,0,1,0,9
2729,463787,楊浦區人民代表大會常務委員會,0,1,0,9
2730,463787,楊浦區人民政府,0,1,0,9
2731,483773,松江區監察委員會,0,1,0,9
2732,483787,松江區人民代表大會常務委員會,0,1,0,9
2733,483787,松江區人民政府,0,1,0,9
2734,503773,靜安區監察委員會,0,1,0,9
2735,523773,青浦區監察委員會,0,1,0,9
2736,503787,靜安區人民代表大會常務委員會,0,1,0,9
2737,523787,青浦區人民代表大會常務委員會,0,1,0,9
2738,503787,靜安區人民政府,0,1,0,9
2739,523787,青浦區人民政府,0,1,0,9
2740,516773,虹口區監察委員會,0,1,0,9
2741,516787,虹口區人民代表大會常務委員會,0,1,0,9
2742,516787,虹口區人民政府,0,1,0,9
2743,54233,中共上海市委員會,0,1,0,9
2744,54233,中共上海市浦東新區委員會,0,1,0,9
2745,54233,中共上海市黃浦區委員會,0,1,0,9
2746,54233,中共上海市盧灣區委員會,0,1,0,9
2747,54233,中共上海市靜安區委員會,0,1,0,9
2748,54233,中共上海市徐匯區委員會,0,1,0,9
2749,54233,中共上海市長寧區委員會,0,1,0,9
2750,54233,中共上海市普陀區委員會,0,1,0,9
2751,54233,中共上海市楊浦區委員會,0,1,0,9
2752,54233,中共上海市虹口區委員會,0,1,0,9
2753,54233,中共上海市閘北區委員會,0,1,0,9
2754,54233,中共上海市寶山區委員會,0,1,0,9
2755,54233,中共上海市嘉定區委員會,0,1,0,9
2756,54233,中共上海市青浦區委員會,0,1,0,9
2757,54233,中共上海市閔行區委員會,0,1,0,9
2758,54233,中共上海市松江區委員會,0,1,0,9
2759,54233,中共上海市金山區委員會,0,1,0,9
2760,54233,中共上海市南匯區委員會,0,1,0,9
2761,54233,中共上海市奉賢區委員會,0,1,0,9
2762,54233,中共上海市崇明縣委員會,0,1,0,9
2763,54233,中共上海市紀律檢查委員會,0,1,0,9
2764,54233,中共上海市浦東新區紀律檢查委員會,0,1,0,9
2765,54233,中共上海市黃浦區紀律檢查委員會,0,1,0,9
2766,54233,中共上海市盧灣區紀律檢查委員會,0,1,0,9
2767,54233,中共上海市靜安區紀律檢查委員會,0,1,0,9
2768,54233,中共上海市徐匯區紀律檢查委員會,0,1,0,9
2769,54233,中共上海市長寧區紀律檢查委員會,0,1,0,9
2770,54233,中共上海市普陀區紀律檢查委員會,0,1,0,9
2771,54233,中共上海市楊浦區紀律檢查委員會,0,1,0,9
2772,54233,中共上海市虹口區紀律檢查委員會,0,1,0,9
2773,54233,中共上海市閘北區紀律檢查委員會,0,1,0,9
2774,54233,中共上海市寶山區紀律檢查委員會,0,1,0,9
2775,54233,中共上海市嘉定區紀律檢查委員會,0,1,0,9
2776,54233,中共上海市青浦區紀律檢查委員會,0,1,0,9
2777,54233,中共上海市閔行區紀律檢查委員會,0,1,0,9
2778,54233,中共上海市松江區紀律檢查委員會,0,1,0,9
2779,54233,中共上海市金山區紀律檢查委員會,0,1,0,9
